[2024/04/22 18:55] GALDilhara		: Starts the documentation
[2024/04/22 22:05] GALDilhara		: Divide the roles and starts the UI/UX design
[2024/04/23 08:04] GALDilhara		: There is a lack of collaboration in some team members. Identified it as a risk of the web pages belongs to them.
[2024/04/23 09:17] GALDilhara		: Planed a meeting to discuss about this risk
[2024/04/23 22:05] GALDilhara		: Completed the meeting and palned for the risk. distributed the risk web pages among other team members.
[2024/04/24 11:09] GALDilhara		: The UI/UX design was continued, but there is no development of the risk web pages.
[2024/04/24 20:25] GALDilhara		: Create a github repository named getPosted.
[2024/04/24 20:40] GALDilhara		: Add the team members as collaborators for the project.
[2024/04/24 21:10] GALDilhara		: Give an introduction to the github issues and git.
[2024/04/24 22:10] GALDilhara		: End the meeting. Still the risk is there because of some team members.
[2024/04/25 11:10] DGNuwan              : Start the design cart page.
[2024/04/25 09:30] DGNuwan              : contribution issue checking in github repository.
[2024/04/27 12:11] DGNuwan              : resolving github contribution issue.
[2024/04/27 18:35] DGNuwan              : start new cart desing.
[2024/04/27 23:06] DGNuwan              : cart new design development first test end.
[2024/04/28 03:40] DGNuwan              : create cart grid responsiveness.
[2024/04/28 09:53] DGNuwan              : github issue discuss.
[2024/04/28 09:53] DGNuwan              : start develop checkout page.
[2024/04/26 11.15] KDKapuge             : Add author sign up page to the github.
[2024/04/26 11.45] KDKapuge             : Add publication creative page to github.
[2024/04/27 12.40] KDKapuge             : Updated author sign up page adding navbar.
[2024/04/27 12.55] KDKapuge             : Updated publication creative page adding navbar.
[2024/04/27 14.05] KDKapuge             : Add books(category) page to github.
[2024/04/27 23.40] KDKapuge             : Add two cards to books page.
[2024/04/27 23.45] KDKapuge             : Update navbar in author sign up page, publication creative page and books page.
[2024/04/28 00.10] KDKapuge             : Correct image link in publication creative HTML page.
[2024/04/28 10.29] GSUdeshika           : github issues discuss
[2024/04/28 10.46] GSUdeshika           : create a author profile
[2024/04/29 11:20] JSHHansaka                 : add template for contactus page
[2024/04/28 10.46] GSUdeshika           : add author profile update view page
[2024/04/29 09.55] GSUdeshika           : Start the design author profile author view page
[2024/04/29 05.23] GSUdeshika           : Add author profile author view page
[2024/04/29 17:53] GALDilhara		: Add the .gitignore to the project and starts to create model part of the mvc architecture.
[2024/04/29 17:53] GALDilhara		: Starts to develop the database connectivity with JDBC in DAO architecture.
[2024/04/29 18:57] GALDilhara		: Before the Database connectivity there is a need of a logger to log the messages. Start the developing of a loggin library.
[2024/04/29 18:57] GALDilhara		: Starts using JUIT as testing library for the project.
[2024/04/29 20:59] GALDilhara		: Finished the logger package for the project. wrote all the test in JUNIT and fully tested the logger.
[2024/04/29 21:00] GALDilhara		: Start the development of Database connection handler.
[2024/04/29 21.00] GOKawya              : Git test
[2024/04/29 00.47] GOKawya              : Add modification to user view page.
[2024/04/29 22:56] GALDilhara		: Finished the database handler class. Wrote the test for database handler class and fully tested.
[2024/04/29 22:56] GALDilhara		: Start the development of DAO classes for each table in the database.
[2024/04/28 23:32] DGNuwan              : create checkout page.
[2024/04/29 22:56] GALDilhara		: Continue the development DEO classes.
[2024/04/29 00.47] GOKawya              : Add modification to user view page.
[2024/04/28 23:32] DGNuwan              : create checkout page.
[2024/04/27 22:44] ravindusenanayake    : add pub user view page.
[2024/04/27 23:15] ravindusenanayake    : add hard copy request page.
[2024/04/27 23:45] ravindusenanayake    : add publication update page.
[2024/04/28 23:45] ravindusenanayake    : add navbar and footer in to pages.
[2024/04/28 23:45] ravindusenanayake    : update user view page/hardcopy page/upadate page.
[2024/04/29 00.47] GOKawya              : Resolving issues in my github account
[2024/04/30 14.05] GOKawya              : Create user profile update view page.
[2024/04/30 10:00] ravindusenanayake    : upadate footer pages.
[2024/04/30 11:51] GALDilhara		: Created Sysenv class to make the code modular. The sysenv class can set parameters to java system properties and it can get parameters from java systemproperties or from environment vairables
[2024/04/30 11:51] GALDilhara		: finalized the Sysenv class. Wrote all the tests and finished the test
[2024/04/28 10.29] GSUdeshika           : github issues discuss.
[2024/04/28 10.46] GSUdeshika           : create a author profile.
[2024/04/28 10.46] GSUdeshika           : add author profile update view page.
[2024/04/29 09.55] GSUdeshika           : Start the design author profile author view.
[2024/04/29 05.23] GSUdeshika           : Add author profile author view page.
[2024/04/30 11.28] GSUdeshika           : Modified author profile update view page adding selections.
[2024/04/30 12.07] GSUdeshika           : Modified author profile.html link to correct image link.
[2024/04/30 12.33] GSUdeshika           : Updated author profile author view page link to correct image link.
[2024/04/30 09.12] GSUdeshika           : Modified author profile update view page adding edit-button.
[2024/05/01 11.44] GSUdeshika           : Updated author profile author view page adding new modifications.
[2024/05/01 12.21] GSUdeshika           : UPdated CSS code in author profile update view page.
[2024/04/22 20:05] AHGK Arochana	: Create figma account and cteate share link
[2024/04/23 10:15] AHGK Arochana	: Select color and theam for UX desing
[2024/04/23 13:22] AHGK Arochana	: Start admin navigation bar in figma desing
[2024/04/23 16:05] AHGK Arochana	: End admin navigation bar in figma desing
[2024/04/23 20:45] AHGK Arochana	: Start admin home page in figma desing
[2024/04/24 01:32] AHGK Arochana	: End admin home in figma desing
